,title,addr,scene_in_the_work
691,金色モザイク,千葉県佐倉市王子台,忍たちが待ち合わせしていた駅前/1話/京成臼井駅
692,金色モザイク,千葉県習志野市谷津1−16−1,買い物に来た場所/4話/モリシア津田沼
693,金色モザイク,千葉県習志野市津田沼1−3−1,遊びに来た場所/2話/ミーナ津田沼
694,金色モザイク,千葉県習志野市津田沼1−23−1,イオンモール津田沼/2話
695,金色モザイク,千葉県習志野市津田沼1-2-1,PIA津田沼/2話
696,金色モザイク,千葉県習志野市津田沼1丁目,津田沼駅前/2話/津田沼駅
697,金色モザイク,千葉県習志野市実籾本郷22−1,忍たちが通う高校/千葉県立実籾高等学校
698,金色モザイク,千葉県習志野市実籾2丁目,忍たちの通学路/実籾本郷公園
699,金色モザイク,千葉県習志野市実籾,実籾駅前/実籾駅
700,金色モザイク,千葉県佐倉市生谷1559−38,ジョリーパスタ王子台前/3話/ジョリーパスタ王子台店
701,銀牙 -流れ星 銀-,秋田県雄勝郡東成瀬村,本作の主な舞台「奥羽」「二子峠」のモデルとなった地域であり作者の出身地
702,ぎんぎつね,東京都世田谷区新町2-17-1,神社モデル/全話共通/久富稲荷神社
703,ぎんぎつね,東京都文京区根津1丁目28−9,神社モデル/全話共通/根津神社
704,ぎんぎつね,京都府京都市伏見区深草藪之内町68,伏見稲荷大社/OP
705,金田一少年の事件簿,,香港九龍/香港九龍財宝殺人事件
706,金田一少年の事件簿R,,香港九龍/香港九龍財宝殺人事件
707,銀魂,北海道虻田郡洞爺湖町中島,銀さんの木刀に掘ってある文字の起源「洞爺湖」/洞爺湖
708,銀の匙,北海道帯広市東3条南2丁目1,大蝦夷神社（作中と同じ絵馬が買える）/帯廣神社
709,銀の匙,北海道帯広市緑ヶ丘,緑ヶ丘公園
710,銀の匙,北海道帯広市西13条南9−1,ばんえい競馬が行われる地として紹介/帯広競馬場
711,銀の匙,北海道帯広市稲田町西1線9番地,大蝦夷農業高等学校/帯広農業高校
712,銀の匙,北海道帯広市東6条南3丁目,八軒が歩く河川敷/十勝川河川敷
713,銀の匙,北海道帯広市稲田町西1線9番地,作中に登場する牛乳が販売/帯広農業高校アンテナショップ「あぐりす」
714,銀の匙,北海道帯広市西一条南11丁目19,作中に登場する豚丼（そのものではない）が食べられる/ぱんちょう
715,GJ部,東京都調布市仙川町1丁目12−14,妹の登場シーン/6話/ドトールコーヒーショップ京王仙川店前
716,GJ部,東京都調布市仙川町1丁目43,京王線仙川駅/6話/京王線仙川駅
717,GJ部,東京都調布市仙川町1丁目6−10,仙川商店街/6話/仙川商店街
718,GJ部,東京都調布市仙川町１丁目４７−１１ パール仙川2 1f,紅茶を買いに来たキョロと真央が遭遇するお店　LUPICIA 仙川店/2話
719,GJ部,東京都調布市仙川町１丁目６−１０,西友前にあるたい焼き屋さん　仙川商店街ゲート/2話
720,GJ部,東京都調布市入間町２丁目１−１５,LUPICIAから出た時に居る交差点　パティオ仙川横 交差点/2話
721,GJ部,東京都大田区南雪谷５丁目１３－１,東調布公園 入口　南調布公園のモデル東調布公園/2話
722,GJ部,東京都大田区南雪谷５丁目１３－１,東調布公園 SL広場　キョロと真央に呼び出し電話をかけるシーン/2話
723,GJ部,東京都大田区南雪谷５丁目１３－１,東調布公園 石垣水場/2話
724,GJ部@,東京都調布市仙川町１丁目４７−１１ パール仙川2 1f,紅茶を買いに来たキョロと真央が遭遇するお店　LUPICIA 仙川店/2話
725,GJ部@,東京都調布市仙川町１丁目６−１０,西友前にあるたい焼き屋さん　仙川商店街ゲート/2話
726,GJ部@,東京都調布市入間町２丁目１−１５,LUPICIAから出た時に居る交差点　パティオ仙川横 交差点/2話
727,GJ部@,東京都大田区南雪谷５丁目１３－１,東調布公園 入口　南調布公園のモデル東調布公園/2話
728,GJ部@,東京都大田区南雪谷５丁目１３－１,東調布公園 SL広場　キョロと真央に呼び出し電話をかけるシーン/2話
729,GJ部@,東京都大田区南雪谷５丁目１３－１,東調布公園 石垣水場/2話
730,雲のむこう、約束の場所,東京都新宿区西新宿6-6-2,浩紀が住んでいた学生寮があった付近/全話共通/東京ヒルトンホテル
731,雲のむこう、約束の場所,東京都新宿区西新宿1丁目2,浩紀と拓也のバイト先の工場の社長が情報処理研究室長と行った飲み屋街/全話共通/思い出横丁
732,グラスリップ,福井県坂井市三国町緑ケ丘4-2-1,坂井市三国町の民俗資料などをおさめているみくに龍翔館/PV
733,グラスリップ,福井県福井市鮎川町17-14,主人公深水透子の家業であるガラス工房のモデル/ワタリグラススタジオ
734,グラスリップ,福井県坂井市三国町米ケ脇4丁目,三国サンセットビーチ空撮シーン
735,グラスリップ,福井県あわら市青ノ木44-15大森陶彩窯敷地内,カフェ コトノハ
736,グラスリップ,福井県坂井市三国町宿1丁目,三国港突堤（エッセル堤）/HPのトップ画像
737,グラスリップ,福井県坂井市三国町宿1丁目,OP・1話 三国港駅
738,グラスリップ,福井県坂井市三国町米ケ脇５丁目８,白山神社
739,紅の豚,,『紅の豚』のモデルとなった街/ドブロブニク
740,クレヨンしんちゃん,埼玉県春日部市粕壁1丁目3-4,春日部情報発信館　ぷらっとかすかべ
741,クレヨンしんちゃん,埼玉県春日部市粕壁東2-5-1 2-5-1,アクションデパート/春日部西武
742,クレヨンしんちゃん,埼玉県春日部市中央1-13-1,サトーココノカドー/イトーヨーカドー春日部
743,黒子のバスケ,東京都武蔵村山市大南4-64-5,帝光中学校/拓殖大学第一高等学校
744,黒子のバスケ,東京都小金井市本町6丁目14-45,小金井市民交流センター地下駐輪場の入口/エンディング
745,黒子のバスケ,東京都小金井市関野町1丁目13−1,小金井市総合体育館/6話
746,黒子のバスケ,東京都世田谷区駒沢公園1−1,駒沢オリンピック公園
747,黒子のバスケ,東京都小金井市本町6丁目,武蔵小金井駅の1番ホーム/オープニング
748,黒子のバスケ,大阪府大阪市港区田中3-1,大阪市中央体育館/22話/1期
749,黒執事,佐賀県西松浦郡有田町中部乙370−2,館のモチーフ/有田ポーセリンパーク
750,けいおん！,滋賀県犬上郡豊郷町大字石畑518,私立桜が丘女子高等学校のモデル/全話共通/豊郷小学校
751,けいおん！,京都府京都市左京区山端壱町田町14-4,オープニングに出てくる駅/オープニング/修学院駅
752,けいおん！,京都府京都市左京区一乗寺中ﾉ田町73,よく行くファーストフード店/全話共通/マクドナルド北白川店
753,けいおん！,京都府京都市左京区松ｹ崎東町31,平沢家の近くの鳥居/全話共通/松ヶ崎大黒天 京都 妙円寺
754,けいおん！,京都府京都市左京区松ｹ崎小竹薮町,オープニングで渡る橋/オープニング/松ケ崎橋
755,けいおん！,京都府京都市左京区南禅寺福地町86,オープニング背景のれんが/オープニング/南禅寺水路閣（なんぜんじすいろかく）
756,けいおん！,京都府京都市北区紫野今宮町21,初詣に訪れた神社/7話/今宮神社
757,けいおん！,京都府京都市北区紫野北舟岡町,大晦日ライブのあと初日の出を見た公園/14話/船岡山公園
758,けいおん！,京都府京都市左京区北白川瓜生山2-116,1期OP『Cagayake GIRLS!』で4人がジャンプする学校正門前の階段/こども芸術大学
759,けいおん！,京都府京都市左京区松ｹ崎河原田町,通学路/全話共通/河原田町
760,劇場版 魔法少女まどかマギカ[新編]叛逆の物語,東京都千代田区外神田4-14-1秋葉原UDX3階,杏子の行きつけの店のラーメン & キュゥべえ杏仁豆腐が食べられる/銀座 鹿鳴春
761,ゲゲゲの鬼太郎,鳥取県境港市大正町６２−１ ,妖怪神社／水木しげるロード
762,ゲゲゲの鬼太郎,鳥取県境港市,水木しげるロード/全話共通
763,ゲゲゲの鬼太郎,東京都調布市布田1丁目,天神通り商店街/全話共通
764,ゲゲゲの鬼太郎,東京都調布市深大寺元町5-15-1,深大寺/全話共通
765,ゲゲゲの鬼太郎,東京都調布市深大寺元町5-2-8,鬼太郎茶屋/全話共通
766,ケロロ軍曹,東京都中央区銀座4−12−15,冬樹がガイドブックを見ながらキョロキョロ/302話//歌舞伎座
767,ケロロ軍曹,東京都新宿区歌舞伎町1-30-1,冬樹が本を見ながら改札をくぐる/302話/西武新宿駅
768,ケロロ軍曹,東京都新宿区歌舞伎町1-30-1,冬樹が本を見ながら改札をでてあたりを見回す/302話/スープストック・トーキョー
769,ケロロ軍曹,東京都中央区銀座4-5-11,冬樹が背中にケロロを背負って銀座に/302話/銀座和光本店
770,ケロロ軍曹,東京都中央区築地1-13-20,冬樹とケロロがベンチにすわり談笑/302話/築地川銀座公園
771,ケロロ軍曹,東京都中央区銀座4−8−7,昭和の名画再発見！の赤い看板/302話/銀座シネパトス
772,ケロロ軍曹,東京都中央区銀座4−8−7,銀座シネパロス/302話/銀座シネパトス
773,ケロロ軍曹,東京都千代田区神田駿河台4,夕日の沈む橋/272話/聖橋
774,ケロロ軍曹,東京都西東京市芝久保町5−8−2,西澤タワーのモデル/スカイタワー西東京
775,ケロロ軍曹,東京都杉並区上井草3丁目,ガンダム像/上井草駅
776,幻影ヲ駆ケル太陽,長崎県長崎市元船町9-2,アパホテル前/6話/アパホテル長崎駅南店
777,幻影ヲ駆ケル太陽,長崎県長崎市元船町,長崎港/3話
778,幻影ヲ駆ケル太陽,長崎県長崎市元船町,長崎港観光丸/3話
779,幻影ヲ駆ケル太陽,長崎県長崎市東山手町,オランダ坂/1話
780,幻影ヲ駆ケル太陽,長崎県長崎市伊良林2丁目7-24,ラッセル記念館
781,幻影ヲ駆ケル太陽,長崎県長崎市出雲2丁目145,鍋冠山公園
782,幻影ヲ駆ケル太陽,長崎県長崎市新地町１０−１３,長崎新地中華街
783,幻影ヲ駆ケル太陽,長崎県長崎市淵町8-1,稲佐山展望台/2話
784,幻影ヲ駆ケル太陽,長崎県長崎市曙町6-14,稲佐国際墓地
785,幻影ヲ駆ケル太陽,長崎県長崎市川口町,浦上駅南側踏切/3話/浦上駅
786,げんしけん,東京都江東区有明3−11−1,東京ビックサイト
787,げんしけん,東京都八王子市東中野742-1,椎応大学/全話共通/中央大学正面
788,げんしけん,東京都八王子市東中野742-1,サークル棟の中庭
789,げんしけん,東京都八王子市東中野742-1,サークル棟
790,げんしけん,東京都八王子市東中野742-1,ヒルトップ’78
791,げんしけん,東京都江東区有明3-7,国際展示場駅
792,げんしけん二代目,東京都江東区有明3−11−1,東京ビックサイト
793,恋と選挙とチョコレート,東京都江戸川区小松川1丁目地先,大川ロックゲート/1話/荒川ロックゲート
794,恋と選挙とチョコレート,東京都江東区平野4丁目6−1 木場公園,木場公園大橋/全話共通/木場公園大橋
795,恋と選挙とチョコレート,東京都墨田区江東橋三丁目,銀地町駅/全話共通/錦糸町駅
796,恋と選挙とチョコレート,東京都江東区大島9丁目,高藤学園入口/全話共通/大島小松川公園
797,恋と選挙とチョコレート,東京都江東区大島7丁目1−2,商店街/全話共通/サンロード中の橋
798,攻殻機動隊ARISE,兵庫県神戸市中央区新港町,素子の背景に/神戸大橋
799,攻殻機動隊ARISE,兵庫県神戸市中央区東川崎町1丁目5−7,神戸情報文化ビルの屋上から新浜市のベースとなった地域が見える/神戸情報文化ビル
800,攻殻機動隊ARISE,大阪府大阪市中央区道頓堀1−6−18,かに道楽前から道頓堀を望むカット/かに道楽
801,攻殻機動隊SAC,兵庫県佐用郡佐用町光都1−1−1,タチコマの生まれ故郷/播磨科学公園都市内に位置する大型放射光施設
802,攻殻機動隊SAC,東京都渋谷区宇田川町,最初の笑い男事件(お天気カメラの前で瀬良野を脅した)が起こった交差点/渋谷駅前スクランブル交差点
803,攻殻機動隊SAC,兵庫県赤穂郡上郡町光都2丁目,Spring8への道/播磨テクノライン
804,攻殻機動隊SAC,東京都新宿区西新宿2−8−1,東京都庁のビルが屋上から煙を吐きながら海に沈む/東京都庁
805,高校天使,神奈川県横浜市青葉区元石川町4116,本石高校/全話共通/神奈川県立元石川高等学校
806,高校天使,神奈川県横浜市青葉区市ヶ尾町1854,モデルとなった地域（荷顔）/全話共通/市が尾駅周辺
807,高校天使,神奈川県横浜市緑区十日市場町,モデルとなった地域（十日店中学）/全話共通/十日市場駅周辺
808,高校天使,神奈川県横浜市青葉区田奈町76,モデルとなった地域（棚中学）/全話共通/田奈駅周辺
809,GO！GO！575,神奈川県鎌倉市小町2-11-19,豊島屋本店前／豊島屋本店
810,GO！GO！575,神奈川県鎌倉市雪ﾉ下1丁目9−23,三河屋本店前/三河屋本店
811,GO！GO！575,神奈川県鎌倉市山崎,鎌倉中央公園
812,GO！GO！575,神奈川県鎌倉市山ﾉ内913,北鎌倉女子学園前交差点/北鎌倉女子学園
813,GO！GO！575,神奈川県鎌倉市小町1-5-7,イワタ珈琲店
814,ゴーストハント,東京都渋谷区道玄坂1丁目,モデルとなった地域/全話共通/渋谷駅周辺
815,コードギアス　反逆のルルーシュ,東京都新宿区,シンジュクゲットー/東京都新宿区
816,コードギアス　反逆のルルーシュ,埼玉県さいたま市大宮区,サイタマゲットー/埼玉県さいたま市大宮区
817,コードギアス　反逆のルルーシュ,,神聖ブリタニア帝国/アメリカ合衆国
818,コードギアス　反逆のルルーシュ,静岡県富士宮市富士山頂上,サクラダイト/富士山
819,コードギアス亡国のアキト,神奈川県鎌倉市長谷4−2−28,第一章カット/鎌倉大仏殿高徳院
820,コードギアス亡国のアキト,東京都新宿区西新宿1-7-3,冒頭戦闘シーン背景/モード学園コクーンタワー
821,ゴールデンタイム,静岡県島田市南2−22−14,蓬莱橋/1話
822,ゴールデンタイム,静岡県島田市金谷富士見町,万里の実家付近/4話/牧之原大地
823,ゴールデンタイム,東京都千代田区北の丸公園2−3 ‎,東京武道館/1話
824,ゴールデンタイム,東京都千代田区五番町,JR市ヶ谷駅のホーム/2話/市ヶ谷駅
825,ゴールデンタイム,東京都新宿区市谷本村町4−1,千波主催のコンパの後、酔っぱらった香子/6話/ホテルグランドヒル市ヶ谷
826,ゴールデンタイム,東京都千代田区神田駿河台4,香子が自転車で万里を轢く/6話/聖橋
827,ゴールデンタイム,東京都千代田区富士見二丁目9番4号,万里から別れ話が/6話/市ヶ谷交番
828,ゴールデンタイム,東京都千代田区富士見1丁目6−7,おまけんの活動場所/6話/千代田区富士見区民館
829,ゴールデンタイム,東京都千代田区九段南1丁目6−1 ‎,東京メトロ九段下駅/1話
830,ゴールデンタイム,東京都千代田区富士見2−17−1,法政大学/1話
831,極黒のブリュンヒルデ,東京都三鷹市大沢2−21−1,国立天文台(三鷹)の大赤道儀室
832,極黒のブリュンヒルデ,長野県松本市丸の内4−1,松本城
833,極黒のブリュンヒルデ,長野県諏訪市湖岸通り2-208-90,諏訪湖
834,極黒のブリュンヒルデ,東京都千代田区外神田1丁目12−3,秋葉原に降り立った時のシーン　秋葉原中央通り/7話
835,極黒のブリュンヒルデ,長野県松本市蟻ｹ崎三丁目8番1号,松本深志高校
836,極黒のブリュンヒルデ,長野県諏訪市湖岸通り2-208-90,キカコがレーザーで破壊した諏訪湖の貸しボート小屋/5話
837,極黒のブリュンヒルデ,東京都千代田区外神田4丁目3−1,カズミが童貞発言をする　とらのあな秋葉原店Ａ/7話
838,極黒のブリュンヒルデ,東京都千代田区外神田4丁目3−2,ドン・キホーテ秋葉原店/7話
839,極黒のブリュンヒルデ,東京都千代田区外神田3丁目12−8,アキバ☆ソフマップ1号店/7話
840,極黒のブリュンヒルデ,東京都千代田区外神田1丁目14−2,4000円のパーツを買うシーン　ラジオセンター（東洋計測器前）/7話
841,コクリコ坂から,東京都港区新橋,港南学園理事長･徳丸氏の会社所在地/新橋
842,ココロコネクト,神奈川県横浜市都筑区,舞台となった都市/全話共通/横浜市都筑区
843,ココロコネクト,神奈川県横浜市緑区鴨居1丁目,鴨池橋/5話/鴨池橋
844,ココロコネクト,神奈川県横浜市中区根岸台,根岸公園/エンディング/根岸公園
845,ココロコネクト,神奈川県横浜市磯子区岡村2丁目4−1,太一が通う私立山星高校/全話共通/横浜学園高等学校
846,ココロコネクト,神奈川県横浜市都筑区中川中央一丁目,センター北駅/2話/センター北駅
847,ココロコネクト,神奈川県横浜市都筑区中川中央一丁目,センター北駅/エンディング/センター北駅
848,ココロコネクト,神奈川県横浜市都筑区中川中央1−31−1-2,モザイクモール港北/オープニング/モザイクモール港北
849,ココロコネクト,神奈川県横浜市都筑区中川中央2-2-1,清掃活動/2話/みなきたウォーク
850,ココロコネクト,神奈川県横浜市都筑区茅ｹ崎中央14−1,アイスクリーム屋さん/1話/サーティワンアイスクリーム 港北センター南店
851,Cosmic Baton Girl コメットさん☆,神奈川県鎌倉市御成町11-1,#01コメットさん野宿をして注意される場所
852,ご注文はうさぎですか？,フランス,モデルにした町並み/ストラスブール
853,ご注文はうさぎですか？,フランス,モデルにした町並み/コルマール
854,ご注文はうさぎですか？,ハンガリー,温泉でチェスをするモデルとなった場所/セーチェーニ温泉
855,こちら葛飾区亀有公園前派出所,東京都葛飾区亀有3-32-1,両さんどら焼き/全話共通/葛飾伊勢屋　本店
856,こちら葛飾区亀有公園前派出所,東京都台東区浅草2丁目,浅草寺
857,こちら葛飾区亀有公園前派出所,東京都台東区浅草2-3,境内に記念碑
858,こちら葛飾区亀有公園前派出所,東京都葛飾区亀有5-34-1,亀有公園前派出所のモデル/全話共通/亀有駅北口交番
859,こちら葛飾区亀有公園前派出所,東京都葛飾区亀有,法被姿の両さん像/全話共通/法被姿の両さん像
860,こちら葛飾区亀有公園前派出所,東京都葛飾区亀有3-21-6,少年時代の両さん像/全話共通/亀有銀座商店街ゆうろーど
861,こちら葛飾区亀有公園前派出所,東京都葛飾区亀有3-42-24,こち亀ゆかりの神社/全話共通/香取神社
862,こちら葛飾区亀有公園前派出所,東京都葛飾区亀有2-63-7,亀有名画座/全話共通/亀有名画座跡地
863,こちら葛飾区亀有公園前派出所,東京都葛飾区亀有3-21-6,少/時代の両さん像/全話共通/亀有銀座商店街ゆうろーど
864,こちら葛飾区亀有公園前派出所,東京都練馬区関町北3-20-36,「こちら葛飾区亀有公園前派出所」「おじゃる丸」等を制作するぎゃろっぷ本社
865,COPPELION,神奈川県相模原市南区鵜野森1-11-1,鵜野森交差点
866,COPPELION,東京都港区六本木6−10−1 ‎,六本木ヒルズ
867,COPPELION,東京都杉並区浜田山三丁目,人見街道 御狩野そば前
868,COPPELION,東京都杉並区上高井戸2丁目,中央自動車道 高井戸インター
869,COPPELION,東京都新宿区西新宿1丁目,新宿駅東口交差点
870,COPPELION,東京都府中市住吉二丁目,関戸橋
871,COPPELION,東京都府中市住吉二丁目,京王線 中河原駅
872,COPPELION,東京都府中市東芝町1,東芝府中事業所
873,COPPELION,東京都三鷹市大沢2丁目11−12,三鷹市立第七中学校
874,COPPELION,東京都三鷹市大沢6−4,野川公園 ゲートボール場
875,琴浦さん,鳥取県東伯郡琴浦町大字徳万271,琴浦駅/4話、6話で登場する琴浦さんの実家の最寄駅/浦安駅
876,琴浦さん,鳥取県東伯郡琴浦町別宮472,転法輪寺/3話
877,琴浦さん,鳥取県東伯郡琴浦町赤碕1140−1,グッズ売り場/琴浦町観光教会
878,琴浦さん,鳥取県東伯郡琴浦町赤碕1053-11,琴浦さんたちが遊んだ海水浴場/6話/鳴り石の浜
879,琴浦さん,鳥取県東伯郡琴浦町野井倉 ,大山滝／1話提供
880,琴浦さん,鳥取県東伯郡琴浦町山川,船上山ダム／2話提供
881,琴浦さん,鳥取県東伯郡琴浦町箆津３９３ ,河本家住宅／5話提供
882,琴浦さん,鳥取県東伯郡琴浦町赤崎１５７０,波しぐれ三度傘／6話提供
883,琴浦さん,鳥取県東伯郡琴浦町,光の鏝絵／7話提供
884,孤独のグルメ,東京都杉並区西荻南3丁目15−3ほびっと村2階,東京都杉並区西荻窪のおまかせ定食/10話/BALTHAZAR
885,孤独のグルメ,東京都千代田区神田須田町2丁目21,東京都千代田区秋葉原のカツサンド/17話/万世 秋葉原本店　
886,孤独のグルメ,大阪府大阪市北区中津1-11-30,大阪府大阪市北区中津のたこ焼き/7話/3ちゃんや
887,孤独のグルメ,東京都千代田区丸の内1丁目9−1,東京発新幹線ひかり５５号のシュウマイ/6話/崎陽軒
888,孤独のグルメ,東京都武蔵野市吉祥寺南町1-1-3,東京都武蔵野市吉祥寺の廻転寿司/2話/天下寿司
889,孤独のグルメ,東京都練馬区石神井台1丁目27−19,東京都練馬区石神井公園のカレー丼とおでん/11話/豊島屋　
890,孤独のグルメ,神奈川県藤沢市江の島2丁目5−7,神奈川県藤沢市江ノ島の江ノ島丼/9話/魚見亭
891,孤独のグルメ,神奈川県川崎市川崎区浜町4丁目12−5,京浜工業地帯を経て川崎セメント通りの焼き肉/8話/東天閣　
892,孤独のグルメ,静岡県静岡市葵区常磐町1‐8‐7,静岡・青葉横丁のおでん/19話/一心
893,孤独のグルメ,東京都新宿区信濃町8,東京都新宿区信濃町のペルー料理/20話/ティアスサナ
894,言の葉の庭,東京都新宿区内藤町11,ユキノとタカオの出会いの場/全話共通/新宿御苑
895,言の葉の庭,東京都新宿区内藤町11,タカオとユキノが出会った東屋/新宿御苑
896,言の葉の庭,東京都渋谷区千駄ヶ谷5−24−3,NTTドコモ代々木ビル/全話共通/NTTドコモ代々木ビル
897,言の葉の庭,東京都新宿区新宿3丁目,タカオの通学路/全話共通/新宿駅13番ホーム
898,言の葉の庭,東京都渋谷区千駄ヶ谷一丁目,ユキノの自宅/全話共通/千駄ヶ谷
899,言の葉の庭,東京都新宿区西新宿1-20-1,甲州街道/全話共通/甲州街道
900,言の葉の庭,東京都新宿区内藤町１１,タカオが出入りに使っていた「新宿門」/新宿御苑
901,言の葉の庭,東京都新宿区,タカオがいつも降り立つホーム/中央・総武線普通列車の御茶ノ水・千葉方面ホーム(13番線)/新宿駅
902,言の葉の庭,東京都新宿区,ユキノがいつも仕事場に行こうとして断念しているシーン/千駄ヶ谷駅
903,この中に1人、妹がいる！,千葉県習志野市茜浜2-3-3,神凪雅が出場する水泳大会の会場/12話/千葉県国際総合水泳場
904,この中に1人、妹がいる！,東京都大田区田園調布3-25-18,将悟がデートの際に雅と待ち合わせした場所/11話/田園調布駅
905,この中に1人、妹がいる！,東京都練馬区向山3-25-1,天導愛菜、国立凜香と訪れる遊園地/8話/としまえん
906,この中に1人、妹がいる！,東京都千代田区内幸町1-1-1,パーティ会場/11話/帝国ホテル東京
907,これはゾンビですか？,東京都杉並区阿佐谷北2丁目,相川家/オープニング/東京都杉並区阿佐谷北2丁目
908,これはゾンビですか？,東京都練馬区上石神井3丁目15−6,甲冑少女ユーに出会うコンビニ/2話/ミニストップ 練馬上石神井3丁目店
909,これはゾンビですか？,東京都新宿区西新宿1丁目6−1,冒頭背景/オープニング/新宿エルタワー
910,これはゾンビですか？,東京都新宿区西新宿1丁目 西口地下街1号,新宿の目/オープニング/新宿の目
911,これはゾンビですか？,東京都新宿区西新宿1丁目,新宿西口ロータリー/オープニング/新宿西口ロータリー
912,これはゾンビですか？,東京都新宿区西新宿1丁目26−1,損保ジャパン本社ビル/オープニング/損保ジャパン本社ビル
913,これはゾンビですか？,東京都新宿区西新宿1-5-1,小田急ハルク/オープニング/小田急ハルク
914,これはゾンビですか？,東京都新宿区西新宿1-5-1,ビックカメラ/オープニング/ビックカメラ
915,これはゾンビですか？,東京都港区浜松町2丁目4−1,世界貿易センタービル シーサイトップ展望台/オープニング/世界貿易センタービル シーサイトップ展望台
916,これはゾンビですか？,東京都江戸川区臨海町6−2−1,ダイヤと花の大観覧車/オープニング/葛西臨海公園
917,金色のコルダ　Blue♪Sky,神奈川県横浜市中区,1話「はじまりのパルティータ」/大さん橋
918,金色のコルダ　Blue♪Sky,神奈川県横浜市西区みなとみらい2-3-6,かなでと響也が演奏会を聞きに来た会場/横浜みなとみらいホール
919,金色のコルダ　Blue♪Sky,神奈川県横浜市中区山手町114,夜に寮へ帰る時に通る電話ボックス前/横浜元町公園電話ボックス
920,金色のコルダ　Blue♪Sky,神奈川県横浜市中区山手町,かなでがチェロを投げ捨てようとしている宗介に遭遇する元町商店街/前田橋/2話
921,金色のコルダ　Blue♪Sky,神奈川県横浜市中区羽衣町2-7-1,悠人＆宗介が通る元町厳島神社境内
922,金色のコルダ　Blue♪Sky,神奈川県横浜市中区山手町114,自主練しているかなでが、天宮が子供達にピアノを聞かせているのを見かける元町公園プール横
923,金色のコルダ　Blue♪Sky,神奈川県横浜市中区山手町96,かなで＆天宮が通る横浜外人墓地
924,金色のコルダ　Blue♪Sky,神奈川県横浜市中区元町1-77-4,かなで＆天宮が通るエリスマン邸前
925,金色のコルダ　Blue♪Sky,神奈川県横浜市中区山手町114,かなで＆天宮がやってくる港の見える丘公園展望台
926,金色のコルダ　Blue♪Sky,神奈川県横浜市中区山手町114,星奏メンバーが神南高校チームの演奏パフォーマンスを見かけ、かなでも演奏することになる山下公園氷川丸横
927,GONZO,東京都杉並区成田東5-17-13ハーモナイズビル1階,ストライクウィッチーズ、GANTZ、ドルアーガの塔などをてがけるGONZO本社
928,THE IDOLM@STER,東京都杉並区成田東5-34 周辺,都道4号線沿いの建物/765プロが入居するビル
929,THE IDOLM@STER,神奈川県中郡二宮町二宮838,二宮駅 改札
930,THE IDOLM@STER,神奈川県中郡二宮町二宮838,二宮駅 1・2番線ホーム
931,THE IDOLM@STER,東京都杉並区荻窪3丁目38-9,アイマス一話で三浦あずささんが道を迷うシーン/西効ロッヂング
932,THE IDOLM@STER,東京都小笠原村父島,小笠原諸島(父島)
933,THE IDOLM@STER,東京都杉並区成田東5-34 周辺,歩道橋
934,THE IDOLM@STER,東京都杉並区荻窪4-27 周辺,旅館西郊周辺
935,THE IDOLM@STER 2,東京都小笠原村父島,小笠原諸島(父島)
936,坂道のアポロン,長崎県佐世保市三浦町4-25,律子や千太郎が通う教会/三浦町教会
937,坂道のアポロン,長崎県佐世保市栄町5−8,千太郎や律が暮らす商店街/佐世保三ヶ町商店街
938,坂道のアポロン,長崎県佐世保市瀬戸越町,主人公たちが遊びに行った名所/眼鏡岩
939,坂道のアポロン,長崎県佐世保市八幡町6-31,主人公たちが通う高校/長崎県立佐世保北高校
940,坂道のアポロン,長崎県佐世保市元船町17-3,百合香と出会った海水浴場/遊覧船ターミナルビル
941,さくら荘のペットな彼女,大阪府大阪市浪速区恵美須東2-3-9,新世界/オープニング/新世界
942,さくら荘のペットな彼女,北海道札幌市中央区北1条西2−1−1,札幌市時計台/オープニング/札幌市時計台
943,さくら荘のペットな彼女,神奈川県川崎市多摩区登戸2098,利用する駅/1話/向ヶ丘遊園駅
944,さくら荘のペットな彼女,福岡県福岡市博多区博多駅,主人公が帰省する/15話/博多駅
945,さくら荘のペットな彼女,千葉県成田市古込1−1,国際空港/12話/成田国際空港
946,さくら荘のペットな彼女,神奈川県川崎市多摩区,舞台となった町/全話共通/横浜市多摩区
947,さくら荘のペットな彼女,神奈川県川崎市多摩区登戸2417,利用する駅/17話/登戸駅
948,さくら荘のペットな彼女,東京都墨田区押上1−1−2,スカイツリー/7話/スカイツリー
949,さくら荘のペットな彼女,東京都台東区浅草2−3−1,浅草寺/7話/浅草寺
950,さくら荘のペットな彼女,東京都台東区上野公園2−1,弁天堂/7話/不忍池弁天堂
951,サザエさん,東京都世田谷区桜新町,サザエさん一家が暮らす街
952,サザエさん,東京都世田谷区桜新町1丁目30-6,長谷川町子美術館
953,ささみさん＠がんばらない,静岡県富士宮市宮町1−1,富士山本宮浅間大社
954,ささみさん＠がんばらない,東京都杉並区阿佐ヶ谷南2-16 周辺,阿佐ヶ谷パールセンター商店街/6話
955,ささみさん＠がんばらない,東京都杉並区阿佐谷南3-36 周辺,阿佐ヶ谷駅南口
956,ささみさん＠がんばらない,東京都港区新橋2丁目,新橋駅前/4話
957,ささみさん＠がんばらない,東京都杉並区井草4−12−1,井草森公園/5話
958,ささみさん＠がんばらない,千葉県松戸市,くらり寿司
